날짜,닉네임,내용
2024-09-01,습도킬러,좋아요
2024-09-01,건조한사람,LG 제습기 정말 만족합니다. 하루 종일 틀어놔도 소음이 거의 없고 물받이 용량도 충분해요. 특히 자동 습도 조절 기능이 너무 편리합니다.
2024-09-01,집사랑,별로에요
2024-09-02,깔끔이,3일째 사용 중인데 효과가 확실히 느껴져요. 집안 곰팡이 냄새가 사라졌고 빨래도 더 빨리 마르는 것 같아요. 다만 물받이를 자주 비워줘야 하는 게 조금 번거롭긴 해요.
2024-09-02,물부족,괜찮네요
2024-09-02,리뷰왕,추천해요
2024-09-03,홈마스터,LG 제품답게 품질이 좋습니다. 디자인도 깔끔하고 작동음도 조용해서 밤에 켜놔도 잠자는데 방해되지 않아요. 습도 표시창도 보기 쉽고 만족스럽습니다.
2024-09-03,곰팡이퇴치,효과 좋아요
2024-09-03,건조기계,너무 좋아요!
2024-09-04,실용주의,1주일 사용 후기입니다. 확실히 집안 습도가 많이 줄었어요. 그런데 생각보다 전기료가 많이 나올 것 같아서 걱정이에요. 효과는 만족하지만 전력소모량을 더 확인해봐야겠습니다.
2024-09-04,습기제로,만족
2024-09-04,깨끗한집,좋네요
2024-09-05,가전마니아,LG 제습기 구매 후 2주째 사용 중입니다. 물받이가 가득 찰 때마다 자동으로 멈춰주는 기능이 정말 안전하고 좋아요. 필터도 분리가 쉬워서 청소하기 편합니다.
2024-09-05,습도조절사,추천합니다
2024-09-05,건조맨,별로였어요
2024-09-06,청정한공기,소음이 거의 없어서 좋아요. 거실에 두고 사용하는데 TV 볼 때도 전혀 방해되지 않습니다. 습도 조절 효과도 만족스럽고 특히 빨래 건조할 때 정말 유용해요.
2024-09-06,물빼기,괜찮아요
2024-09-06,제품평가,좋습니다
2024-09-07,습기싫어,LG 제습기 성능은 만족하지만 크기가 생각보다 커서 좁은 방에서는 공간을 많이 차지해요. 그래도 제습 효과는 확실하니까 참고 쓰고 있습니다.
2024-09-07,건조여왕,만족해요
2024-09-07,리뷰어,추천
2024-09-08,홈케어,3주 사용 후기예요. 집안 습도가 70%에서 50%로 확실히 떨어졌어요. 아이 알레르기도 많이 좋아진 것 같고 집안 공기가 훨씬 상쾌합니다. 구매 잘했어요.
2024-09-08,습도체크,좋아요!
2024-09-08,청소부,별로네요
2024-09-09,가습제습,물받이 용량이 4리터라서 하루 정도는 비우지 않아도 되니까 편해요. 이동할 때도 바퀴가 있어서 쉽게 옮길 수 있고 전체적으로 사용하기 편리합니다.
2024-09-09,건조기능,만족
2024-09-09,효과적,추천해요
2024-09-10,실내환경,LG 제습기 디자인이 심플해서 어떤 인테리어에도 잘 어울려요. 성능도 만족스럽고 특히 에너지 효율이 좋아서 전기료 부담이 생각보다 적어요.
2024-09-10,습도마스터,좋네요
2024-09-10,물제거,괜찮음
2024-09-11,건조환경,한 달 사용 후기입니다. 확실히 집안이 건조해졌고 곰팡이 생길 걱정이 없어졌어요. 다만 겨울에는 너무 건조해질까 봐 걱정되긴 하지만 지금은 매우 만족합니다.
2024-09-11,제습왕,만족스러워요
2024-09-11,깔끔생활,좋아요
2024-09-12,습기퇴치,필터 청소가 간단해서 좋아요. 2주에 한 번 정도 청소하면 되고 분리도 쉬워요. LG A/S센터도 가까워서 나중에 문제 생겨도 안심이에요.
2024-09-12,건조시스템,추천
2024-09-12,리뷰마스터,별로였음
2024-09-13,습도제어,6주 사용 중인데 정말 만족해요. 특히 장마철에 빨래 말릴 때 도움이 많이 됐어요. 습도계를 따로 사서 재봤는데 정말 습도가 많이 떨어져 있더라고요.
2024-09-13,깨끗이,좋습니다
2024-09-13,물빼는기계,만족해요
2024-09-14,건조한하루,소음 수준이 정말 낮아요. 밤에 잘 때도 켜놓고 자는데 전혀 방해되지 않습니다. 습도 조절도 자동으로 잘 되고 에너지 효율도 좋아서 만족스럽습니다.
2024-09-14,습기제거,괜찮네요
2024-09-14,제품후기,추천합니다
2024-09-15,실내공기,LG 제습기 사용 후 집안 공기질이 확실히 좋아졌어요. 습도가 낮아지니까 진드기나 세균 번식도 줄어든 것 같고 아이들 건강에도 도움이 될 것 같아요.
2024-09-15,습도낮추기,만족
2024-09-15,건조효과,좋아요
2024-09-16,물통비우기,2달 사용 후기예요. 물받이가 꽉 차면 자동으로 멈춰서 안전하고 LED 표시등으로 알려줘서 편해요. 다만 물받이가 조금 무거워서 비울 때 조심해야 해요.
2024-09-16,제습효과,별로에요
2024-09-16,깨끗한공간,추천해요
2024-09-17,습기없는집,타이머 기능이 있어서 외출할 때도 안심하고 사용할 수 있어요. 8시간 타이머로 설정해놓고 나가면 딱 좋더라고요. 기능이 다양해서 만족스럽습니다.
2024-09-17,건조모드,좋네요
2024-09-17,효율적,만족스러움
2024-09-18,습도조절기,3달째 사용 중인데 고장 없이 잘 작동하고 있어요. LG 품질이 역시 믿을 만해요. 습도 센서도 정확하고 설정한 습도를 잘 유지해줍니다.
2024-09-18,물받이,괜찮아요
2024-09-18,건조기능성,좋습니다
2024-09-19,제습마스터,전력소모량이 생각보다 적어서 놀랐어요. 하루 종일 켜놔도 전기료 부담이 크지 않아서 계속 사용하고 있습니다. 습도 조절 효과도 확실해서 만족해요.
2024-09-19,습기배출,만족
2024-09-19,깨끗함,추천
